# time, h1_signal, l1_signal
1.782226562500000000e-01 2.153535377376921402e-24 -1.609291415512497161e-25
1.787109375000000000e-01 2.087834021785411058e-24 1.612236337152509234e-26
1.791992187500000000e-01 2.004725109359117622e-24 1.930738301824517216e-25
1.796875000000000000e-01 1.904918721550732163e-24 3.684808176390834252e-25
1.801757812500000000e-01 1.789200210992854407e-24 5.408821644155748305e-25
1.806640625000000000e-01 1.658550781317112953e-24 7.088121103615039053e-25
1.811523437500000000e-01 1.514070916569728613e-24 8.709036163052756068e-25
1.816406250000000000e-01 1.356919622806115459e-24 1.025798982313574431e-24
1.821289062500000000e-01 1.188429781644901055e-24 1.172181316616072134e-24
1.826171875000000000e-01 1.010009919046901235e-24 1.308863433406447282e-24
1.831054687500000000e-01 8.231041234074931562e-25 1.434691017077137812e-24
